epoch,avg_loss
1,3.898077869173234
2,3.758136771052017
3,3.727709229222409
4,3.7113333050974733
5,3.696132801510961
6,3.687372086616942
7,3.6802373670684503
8,3.6724120892849066
9,3.666686647434525
10,3.6614055209958614
